#CHR	START	END	clone0	clone1
chr1	0	28585000	0|2	0|2
chr1	28585000	31291000	0|2	0|3
chr1	31291000	55611000	0|2	0|2
chr1	55611000	59274000	0|2	0|1
chr1	59274000	82490000	0|2	0|2
chr1	82490000	84327000	0|2	0|1
chr1	84327000	94688000	0|2	0|2
chr1	94688000	97642000	0|2	0|1
chr1	97642000	118713000	0|2	0|2
chr1	118713000	122406000	0|3	0|3
chr1	122406000	140686000	0|2	0|2
chr1	140686000	141680000	0|2	0|3
chr1	141680000	145216000	0|2	0|2
chr1	145216000	146225000	0|2	0|3
chr1	146225000	180147000	0|2	0|2
chr1	180147000	181141000	0|0	0|0
chr1	181141000	193252000	0|2	0|2
chr1	193252000	194250000	0|4	0|4
chr1	194250000	198308000	0|2	0|2
chr1	198308000	202126000	0|2	0|3
chr1	202126000	204448000	0|2	0|2
chr1	204448000	206511000	0|0	0|0
chr1	206511000	207226000	0|2	0|2
chr1	207226000	210070000	0|4	0|4
chr1	210070000	242893000	0|2	0|2
chr1	242893000	243896000	0|0	0|0
chr1	243896000	249250621	0|2	0|2
chr2	0	20268000	2|2	2|2
chr2	20268000	22325000	2|1	2|1
chr2	22325000	22691000	2|1	2|2
chr2	22691000	30896000	2|2	2|3
chr2	30896000	34733000	2|2	2|2
chr2	34733000	35749000	2|2	1|2
chr2	35749000	48098000	2|2	2|2
chr2	48098000	49013000	2|2	3|2
chr2	49013000	58478000	2|2	2|2
chr2	58478000	59610000	2|2	1|2
chr2	59610000	89300000	2|2	2|2
chr2	89300000	89540000	2|1	2|1
chr2	89540000	90307000	3|1	3|1
chr2	90307000	106291000	3|2	3|2
chr2	106291000	121523000	2|2	2|2
chr2	121523000	122516000	2|2	3|2
chr2	122516000	127138000	2|2	2|2
chr2	127138000	129864000	2|4	2|4
chr2	129864000	130887000	0|4	0|4
chr2	130887000	134201000	2|4	2|4
chr2	134201000	135864000	2|4	3|4
chr2	135864000	137663000	2|2	3|2
chr2	137663000	139834000	2|2	2|2
chr2	139834000	140828000	2|1	2|1
chr2	140828000	143676000	2|2	2|2
chr2	143676000	156269000	0|2	0|2
chr2	156269000	188804000	2|2	2|2
chr2	188804000	189805000	2|2	3|2
chr2	189805000	198827000	2|2	2|2
chr2	198827000	199825000	0|2	0|2
chr2	199825000	206420000	2|2	2|2
chr2	206420000	219466000	0|2	0|2
chr2	219466000	223655000	0|2	0|3
chr2	223655000	232241000	2|2	2|3
chr2	232241000	239982000	4|2	4|3
chr2	239982000	240215000	2|2	2|3
chr2	240215000	243199373	2|2	2|2
chr3	0	5315000	2|2	2|2
chr3	5315000	6326000	2|0	2|0
chr3	6326000	34922000	2|2	2|2
chr3	34922000	35928000	2|2	2|3
chr3	35928000	54090000	2|2	2|2
chr3	54090000	55099000	2|2	3|2
chr3	55099000	66054000	2|2	2|2
chr3	66054000	67048000	2|2	3|2
chr3	67048000	119693000	2|2	2|2
chr3	119693000	131680000	2|2	2|1
chr3	131680000	172440000	2|2	2|2
chr3	172440000	173444000	2|2	2|3
chr3	173444000	185141000	2|2	2|2
chr3	185141000	197437000	4|2	4|2
chr3	197437000	198022430	2|2	2|2
chr4	0	27594000	2|2	0|2
chr4	27594000	38507000	2|2	0|3
chr4	38507000	58134000	2|2	0|2
chr4	58134000	59125000	2|0	0|0
chr4	59125000	62223000	2|2	0|2
chr4	62223000	64758000	0|2	0|2
chr4	64758000	71951000	2|2	0|2
chr4	71951000	72943000	0|2	0|2
chr4	72943000	97528000	2|2	0|2
chr4	97528000	191154276	2|0	0|0
chr5	0	46508000	2|2	2|2
chr5	46508000	46897000	2|4	2|3
chr5	46897000	46904000	2|4	2|2
chr5	46904000	47503000	2|4	2|3
chr5	47503000	75709000	2|2	2|2
chr5	75709000	76713000	2|2	2|3
